Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021033005017162,CGH,56,4,30,2050.0,61500.0
2021033005017161,CGH,56,4,20,2050.0,41000.0
2021033005017159,CGH,45,10,10,2045.0,20450.0
2021033005017158,CGH,45,45,10,2045.0,20450.0
2021033005017149,CGH,3,52,10,2046.0,20460.0
2021033005017148,CGH,3,50,10,2046.0,20460.0
2021033005016689,CGH,38,10,10,2036.0,20360.0
2021033005016688,CGH,44,17,10,2036.0,20360.0
2021033005016684,CGH,44,10,10,2036.0,20360.0
2021033005016683,CGH,44,38,10,2036.0,20360.0
2021033005016679,CGH,44,38,10,2036.0,20360.0
2021033005016668,CGH,44,10,10,2036.0,20360.0
2021033005016703,CGH,26,22,10,2037.0,20370.0
2021033005016702,CGH,26,48,10,2037.0,20370.0
2021033005016699,CGH,26,41,10,2037.0,20370.0
2021033005016698,CGH,26,10,10,2037.0,20370.0
2021033005016693,CGH,26,7,10,2037.0,20370.0
2021033005016690,CGH,38,32,10,2036.0,20360.0
2021033005016709,CGH,38,11,10,2040.0,20400.0
2021033005016708,CGH,38,36,10,2040.0,20400.0
2021033005016707,CGH,38,4,10,2040.0,20400.0
2021033005016706,CGH,38,7,10,2040.0,20400.0
2021033005016705,CGH,38,52,10,2040.0,20400.0
2021033005016704,CGH,38,7,10,2040.0,20400.0
2021033005016729,CGH,38,51,10,2040.0,20400.0
2021033005016722,CGH,38,58,10,2040.0,20400.0
2021033005016718,CGH,38,10,10,2040.0,20400.0
2021033005016714,CGH,38,11,10,2040.0,20400.0
2021033005016711,CGH,38,29,10,2040.0,20400.0
2021033005016710,CGH,38,11,10,2040.0,20400.0
2021033005016770,CGH,43,45,10,2041.0,20410.0
2021033005016754,CGH,38,34,10,2040.0,20400.0
2021033005016750,CGH,38,41,10,2040.0,20400.0
2021033005016742,CGH,38,10,10,2040.0,20400.0
2021033005016741,CGH,38,48,10,2040.0,20400.0
2021033005016739,CGH,38,46,10,2040.0,20400.0
2021033005016785,CGH,38,16,10,2040.0,20400.0
2021033005016783,CGH,38,39,10,2040.0,20400.0
2021033005016782,CGH,41,21,10,2041.0,20410.0
2021033005016773,CGH,38,10,10,2040.0,20400.0
2021033005016772,CGH,43,45,10,2041.0,20410.0
2021033005016771,CGH,43,50,10,2041.0,20410.0
2021033005016813,CGH,21,10,10,2040.0,20400.0
2021033005016812,CGH,21,57,10,2040.0,20400.0
2021033005016798,CGH,21,13,10,2040.0,20400.0
2021033005016789,CGH,21,41,10,2040.0,20400.0
2021033005016787,CGH,21,10,10,2040.0,20400.0
2021033005016786,CGH,21,48,10,2040.0,20400.0
2021033005016825,CGH,50,35,10,2042.0,20420.0
2021033005016824,CGH,50,58,10,2042.0,20420.0
2021033005016823,CGH,50,58,10,2041.0,20410.0
2021033005016822,CGH,21,3,10,2040.0,20400.0
2021033005016817,CGH,21,8,10,2040.0,20400.0
2021033005016814,CGH,21,48,10,2040.0,20400.0
2021033005016855,CGH,21,32,10,2040.0,20400.0
2021033005016851,CGH,34,10,10,2041.0,20410.0
2021033005016838,CGH,21,29,10,2040.0,20400.0
2021033005016835,CGH,21,10,10,2040.0,20400.0
2021033005016834,CGH,21,38,10,2040.0,20400.0
2021033005016829,CGH,29,56,10,2041.0,20410.0
2021033005016892,CGH,56,10,10,2041.0,20410.0
2021033005016880,CGH,19,34,10,2045.0,20450.0
2021033005016879,CGH,19,38,10,2045.0,20450.0
2021033005016878,CGH,19,38,10,2045.0,20450.0
2021033005016877,CGH,19,56,10,2044.0,20440.0
2021033005016876,CGH,19,25,10,2044.0,20440.0
2021033005016904,CGH,50,54,10,2045.0,20450.0
2021033005016903,CGH,50,52,10,2045.0,20450.0
2021033005016902,CGH,50,34,10,2045.0,20450.0
2021033005016901,CGH,50,45,10,2045.0,20450.0
2021033005016900,CGH,50,42,10,2045.0,20450.0
2021033005016899,CGH,50,38,10,2045.0,20450.0
2021033005017071,CGH,18,32,10,2045.0,20450.0
2021033005017070,CGH,18,10,10,2045.0,20450.0
2021033005016917,CGH,50,56,10,2045.0,20450.0
2021033005016914,CGH,50,10,10,2045.0,20450.0
2021033005016906,CGH,50,38,10,2045.0,20450.0
2021033005016905,CGH,50,5,10,2045.0,20450.0
2021033005017094,CGH,18,32,10,2045.0,20450.0
2021033005017088,CGH,39,58,10,2046.0,20460.0
2021033005017087,CGH,39,41,10,2046.0,20460.0
2021033005017086,CGH,18,25,10,2045.0,20450.0
2021033005017081,CGH,18,58,10,2045.0,20450.0
2021033005017079,CGH,18,34,10,2045.0,20450.0
2021033005017107,CGH,40,58,10,2045.0,20450.0
2021033005017106,CGH,6,47,10,2045.0,20450.0
2021033005017101,CGH,18,21,10,2045.0,20450.0
2021033005017100,CGH,18,49,10,2045.0,20450.0
2021033005017098,CGH,18,56,10,2045.0,20450.0
2021033005017097,CGH,18,45,10,2045.0,20450.0
2021033005017115,CGH,17,1,10,2050.0,20500.0
2021033005017114,CGH,17,6,10,2050.0,20500.0
2021033005017113,CGH,17,21,10,2050.0,20500.0
2021033005017112,CGH,17,32,10,2050.0,20500.0
2021033005017111,CGH,17,22,10,2047.0,20470.0
2021033005017110,CGH,17,36,10,2047.0,20470.0
2021033005017147,CGH,45,21,10,2045.0,20450.0
2021033005017146,CGH,45,53,10,2045.0,20450.0
2021033005017145,CGH,45,34,10,2045.0,20450.0
2021033005017124,CGH,53,16,10,2045.0,20450.0
2021033005017118,CGH,40,11,10,2045.0,20450.0
2021033005017116,CGH,17,4,140,2050.0,287000.0
2021033005017157,GLH,38,56,11,379.0,4169.0
2021033005017150,GLH,45,7,60,378.0,22680.0
2021033005017140,GLH,45,21,10,378.0,3780.0
2021033005017139,GLH,45,43,10,378.0,3780.0
2021033005017138,GLH,45,43,10,378.0,3780.0
2021033005017137,GLH,45,43,10,378.0,3780.0
2021033005016677,GLH,50,33,50,374.0,18700.0
2021033005016676,GLH,58,33,20,374.0,7480.0
2021033005016675,GLH,4,33,100,374.0,37400.0
2021033005016674,GLH,45,33,25,374.0,9350.0
2021033005016673,GLH,45,33,10,374.0,3740.0
2021033005016765,GLH,38,28,10,375.0,3750.0
2021033005016756,GLH,26,42,10,374.0,3740.0
2021033005016745,GLH,26,44,10,374.0,3740.0
2021033005016735,GLH,26,51,10,374.0,3740.0
2021033005016692,GLH,43,3,10,373.0,3730.0
2021033005016678,GLH,58,33,95,374.0,35530.0
2021033005016886,GLH,38,51,10,377.0,3770.0
2021033005016885,GLH,38,33,39,377.0,14703.0
